Shares,Security ID,Transaction Description,Date,Amount
,929740108,CASH RECEIPT DIVIDEND EARNED ON WABTEC CORP $ 0.080000/SHARE ON 2800 SHARES Due 11/30/2015,11/30/15,224
,929740108,CASH RECEIPT DIVIDEND EARNED ON WABTEC CORP $ 0.080000/SHARE ON 2800 SHARES Due 02/26/2016,2/26/16,224
,962166104,CASH RECEIPT DIVIDEND EARNED ON WEYERHAEUSER CO $ 0.310000/SHARE ON 8000 SHARES Due 03/18/2016,3/18/16,2480
,,CASH RECEIPT CLASS ACTION PROCEEDS NET OF EXPENSES,10/23/15,105.06
,,FEE MARKET VALUE FEE COLLECTED,10/26/15,-6612.67
,,FEE MARKET VALUE FEE COLLECTED,1/21/16,-9447.3
1300,00971T101,"PURCHASED AKAMAI TECHNOLOGIES INC 1,300 SHARES AT $70.3693",10/19/15,-91610.09
700,03662Q105,PURCHASED ANSYS INC 700 SHARES AT $91.206,10/19/15,-63914.2
1000,654106103,"PURCHASED NIKE INC CLASS B 1,000 SHARES AT $125.56980064",10/19/15,-125649.8
2450,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,10/1/15,-2450
6.3,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,10/2/15,-6.3
2825,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,10/9/15,-2825
3000,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,10/9/15,-3000
3973.92,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,10/14/15,-3973.92
660,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,10/15/15,-660
1680,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,10/21/15,-1680
105.06,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,10/23/15,-105.06
4341,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,11/2/15,-4341
6.04,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,11/3/15,-6.04
