|Shares|Security ID|Transaction Description|Date|Amount|Price|Transaction Code
225||1.25E+105|CASH RECEIPT DIVIDEND EARNED ON C D K GLOBAL INC. $ 0.135000/SHARE ON 1666 SHARES Due 12/30/2015|12/30/15|224.91||i
236||261908107|CASH RECEIPT INTEREST EARNED ON DREYFUS TREAS CASH MGMT INSTL SHARES $ -9999.000000/DOLLAR ON Due 12/31/2015|1/4/16|14.85||i
256||654106103|CASH RECEIPT DIVIDEND EARNED ON NIKE INC CLASS B $ 0.320000/SHARE ON 1000 SHARES Due 01/04/2016|1/4/16|320.0||i
221||53015103|CASH RECEIPT DIVIDEND EARNED ON AUTOMATIC DATA PROCESSING INC $ 0.530000/SHARE ON 5000 SHARES Due 01/01/2016|1/4/16|2650.0||i
255||654106103|CASH RECEIPT REVERSAL OF DIVIDEND EARNED ON NIKE INC CLASS B $ -0.320000/SHARE ON Due 01/04/2016|1/4/16|-640.0||i
344|-320.0|261908107|SOLD DREYFUS TREAS CASH MGMT INSTL SHARES|1/4/16|320.0|-1.0|s
306|3290.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|1/4/16|-3290.0|-1.0|b
254||654106103|CASH RECEIPT DIVIDEND EARNED ON NIKE INC CLASS B $ 0.320000/SHARE ON 2000 SHARES Due 01/04/2016|1/4/16|640.0||i
307|14.85|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|1/5/16|-14.85|-1.0|b
308|3863.75|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|1/7/16|-3863.75|-1.0|b
257||713448108|CASH RECEIPT DIVIDEND EARNED ON PEPSICO INC $ 0.702500/SHARE ON 5500 SHARES Due 01/07/2016|1/7/16|3863.75||i
310|3000.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|1/8/16|-3000.0|-1.0|b
262||718172109|CASH RECEIPT DIVIDEND EARNED ON PHILIP MORRIS INTERNAT $ 1.020000/SHARE ON 3000 SHARES Due 01/08/2016|1/8/16|3060.0||i
309|3060.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|1/8/16|-3060.0|-1.0|b
269||806857108|CASH RECEIPT DIVIDEND EARNED ON SCHLUMBERGER LTD $ 0.500000/SHARE ON 6000 SHARES Due 01/08/2016|1/8/16|3000.0||i
311|3677.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|1/11/16|-3677.0|-1.0|b
230||254687106|CASH RECEIPT DIVIDEND EARNED ON WALT DISNEY CO/THE $ 0.710000/SHARE ON 1200 SHARES Due 01/11/2016|1/11/16|852.0||i
219||02209S103|CASH RECEIPT DIVIDEND EARNED ON ALTRIA GROUP INC $ 0.565000/SHARE ON 5000 SHARES Due 01/11/2016|1/11/16|2825.0||i
312|913.92|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|1/14/16|-913.92|-1.0|b
345|-1800.0|261908107|SOLD DREYFUS TREAS CASH MGMT INSTL SHARES|1/14/16|1800.0|-1.0|s
33|||CASH DISBURSEMENT PAID TO XXXXXXX|1/14/16|-150.0||c
28|||CASH DISBURSEMENT PAID TO XXXXXXX|1/14/16|-150.0||c
31|||CASH DISBURSEMENT PAID TO XXXXXXX|1/14/16|-150.0||c
32|||CASH DISBURSEMENT PAID TO XXXXXXX|1/14/16|-150.0||c
29|||CASH DISBURSEMENT PAID TO XXXXXXX|1/14/16|-150.0||c
27|||CASH DISBURSEMENT PAID TO XXXXXXX|1/14/16|-150.0||c
26|||CASH DISBURSEMENT PAID TO XXXXXXX|1/14/16|-300.0||c
25|||CASH DISBURSEMENT PAID TO XXXXXXX|1/14/16|-150.0||c
24|||CASH DISBURSEMENT PAID TO XXXXXXX|1/14/16|-150.0||c
253||609207105|CASH RECEIPT DIVIDEND EARNED ON MONDELEZ INTERNATIONAL $ 0.170000/SHARE ON 5376 SHARES Due 01/14/2016|1/14/16|913.92||i
30|||CASH DISBURSEMENT PAID TO XXXXXXX|1/14/16|-300.0||c
243||278865100|CASH RECEIPT DIVIDEND EARNED ON ECOLAB INC $ 0.350000/SHARE ON 2000 SHARES Due 01/15/2016|1/15/16|700.0||i
313|700.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|1/15/16|-700.0|-1.0|b
229||17275R102|CASH RECEIPT DIVIDEND EARNED ON CISCO SYSTEMS INC $ 0.210000/SHARE ON 8000 SHARES Due 01/20/2016|1/20/16|1680.0||i
314|1680.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|1/20/16|-1680.0|-1.0|b
277|||FEE MARKET VALUE FEE COLLECTED|1/21/16|-9447.3||c
346|-9447.3|261908107|SOLD DREYFUS TREAS CASH MGMT INSTL SHARES|1/21/16|9447.3|-1.0|s
315|2990.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|1/25/16|-2990.0|-1.0|b
247||369604103|CASH RECEIPT DIVIDEND EARNED ON GENERAL ELECTRIC CO $ 0.230000/SHARE ON 13000 SHARES Due 01/25/2016|1/25/16|2990.0||i
347|-70.0|261908107|SOLD DREYFUS TREAS CASH MGMT INSTL SHARES|1/28/16|70.0|-1.0|s
34|||CASH DISBURSEMENT PAID TO XXXXXXX|1/28/16|-70.0||c
213||00206R102|CASH RECEIPT DIVIDEND EARNED ON AT&T INC $ 0.480000/SHARE ON 5300 SHARES Due 02/01/2016|2/1/16|2544.0||i
316|4444.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|2/1/16|-4444.0|-1.0|b
224||110122108|CASH RECEIPT DIVIDEND EARNED ON BRISTOL-MYERS SQUIBB CO $ 0.380000/SHARE ON 5000 SHARES Due 02/01/2016|2/1/16|1900.0||i
237||261908107|CASH RECEIPT INTEREST EARNED ON DREYFUS TREAS CASH MGMT INSTL SHARES $ -9999.000000/DOLLAR ON Due 01/31/2016|2/1/16|30.88||i
317|30.88|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|2/2/16|-30.88|-1.0|b
251||571748102|CASH RECEIPT DIVIDEND EARNED ON MARSH & MCLENNAN COS INC $ 0.310000/SHARE ON 10000 SHARES Due 02/12/2016|2/12/16|3100.0||i
318|3100.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|2/12/16|-3100.0|-1.0|b
265||742718109|CASH RECEIPT DIVIDEND EARNED ON PROCTER & GAMBLE CO $ 0.662900/SHARE ON 6000 SHARES Due 02/16/2016|2/16/16|3977.4||i
215||2824100|CASH RECEIPT DIVIDEND EARNED ON ABBOTT LABORATORIES $ 0.260000/SHARE ON 7500 SHARES Due 02/16/2016|2/16/16|1950.0||i
217||00287Y109|CASH RECEIPT DIVIDEND EARNED ON ABBVIE INC. $ 0.570000/SHARE ON 5000 SHARES Due 02/16/2016|2/16/16|2850.0||i
319|8777.4|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|2/16/16|-8777.4|-1.0|b
349|8000.0|962166104|STOCK MERGER 8000.0000 SHARES OF WEYERHAEUSER CO|2/22/16|0.0||t
348|-5000.0|729251108|STOCK MERGER 5000.0000 SHARES OF PLUM CREEK TIMBER CO INC DELIVERED SHARES AS A RESULT OF A MERGER|2/22/16|0.0||t
320|224.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|2/26/16|-224.0|-1.0|b
273||929740108|CASH RECEIPT DIVIDEND EARNED ON WABTEC CORP $ 0.080000/SHARE ON 2800 SHARES Due 02/26/2016|2/26/16|224.0||i
271||92826C839|CASH RECEIPT DIVIDEND EARNED ON VISA INC-CLASS A SHRS $ 0.140000/SHARE ON 3000 SHARES Due 03/01/2016|3/1/16|420.0||i
321|420.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|3/1/16|-420.0|-1.0|b
238||261908107|CASH RECEIPT INTEREST EARNED ON DREYFUS TREAS CASH MGMT INSTL SHARES $ -9999.000000/DOLLAR ON Due 02/29/2016|3/1/16|43.59||i
322|2743.59|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|3/2/16|-2743.59|-1.0|b
260||717081103|CASH RECEIPT DIVIDEND EARNED ON PFIZER INC $ 0.300000/SHARE ON 9000 SHARES Due 03/02/2016|3/2/16|2700.0||i
249||478160104|CASH RECEIPT DIVIDEND EARNED ON JOHNSON & JOHNSON $ 0.750000/SHARE ON 3000 SHARES Due 03/08/2016|3/8/16|2250.0||i
323|2250.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|3/8/16|-2250.0|-1.0|b
245||30231G102|CASH RECEIPT DIVIDEND EARNED ON EXXON MOBIL CORP $ 0.730000/SHARE ON 5000 SHARES Due 03/10/2016|3/10/16|3650.0||i
324|5462.5|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|3/10/16|-5462.5|-1.0|b
267||773903109|CASH RECEIPT DIVIDEND EARNED ON ROCKWELL AUTOMATION, INC. $ 0.725000/SHARE ON 2500 SHARES Due 03/10/2016|3/10/16|1812.5||i
325|2052.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|3/14/16|-2052.0|-1.0|b
241||263534109|CASH RECEIPT DIVIDEND EARNED ON DU PONT (E I) DE NEMOURS $ 0.380000/SHARE ON 5400 SHARES Due 03/14/2016|3/14/16|2052.0||i
326|2480.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|3/18/16|-2480.0|-1.0|b
274||962166104|CASH RECEIPT DIVIDEND EARNED ON WEYERHAEUSER CO $ 0.310000/SHARE ON 8000 SHARES Due 03/18/2016|3/18/16|2480.0||i
327|4200.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|3/21/16|-4200.0|-1.0|b
232||25746U109|CASH RECEIPT DIVIDEND EARNED ON DOMINION RES INC VA NEW $ 0.700000/SHARE ON 6000 SHARES Due 03/20/2016|3/21/16|4200.0||i
328|224.91|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|3/29/16|-224.91|-1.0|b
226||1.25E+105|CASH RECEIPT DIVIDEND EARNED ON C D K GLOBAL INC. $ 0.135000/SHARE ON 1666 SHARES Due 03/29/2016|3/29/16|224.91||i
258||713448108|CASH RECEIPT DIVIDEND EARNED ON PEPSICO INC $ 0.702500/SHARE ON 5500 SHARES Due 03/31/2016|3/31/16|3863.75||i
329|3863.75|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|3/31/16|-3863.75|-1.0|b
222||53015103|CASH RECEIPT DIVIDEND EARNED ON AUTOMATIC DATA PROCESSING INC $ 0.530000/SHARE ON 5000 SHARES Due 04/01/2016|4/1/16|2650.0||i
239||261908107|CASH RECEIPT INTEREST EARNED ON DREYFUS TREAS CASH MGMT INSTL SHARES $ -9999.000000/DOLLAR ON Due 03/31/2016|4/1/16|49.96||i
330|2650.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|4/1/16|-2650.0|-1.0|b
