|Shares|Security ID|Transaction Description|Date|Amount|Price|Transaction Code
95|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-126.88||c
338|-40321.24|261908107|SOLD DREYFUS TREAS CASH MGMT INSTL SHARES|12/3/15|40321.24|-1.0|s
148|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-261.2||c
136|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
145|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-1050.0||c
134|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-1500.0||c
103|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-1500.0||c
104|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
105|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-1500.0||c
106|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
107|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-1500.0||c
108|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
135|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
110|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
111|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
112|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
113|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
114|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
115|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
116|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-1050.0||c
117|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-1050.0||c
109|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-1500.0||c
119|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-517.2||c
118|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-1200.0||c
133|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-1500.0||c
132|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
